Sentence,Hugging Face (BERT),Flair (BERT),Classic BERT
literally nobody,"[-0.04269728809595108, 0.3160817325115204, -0.09083817899227142, -0.00981154479086399, -0.24294158816337585]","[-0.04269728809595108, 0.3160817325115204, -0.09083817899227142, -0.00981154479086399, -0.24294158816337585]","[-0.04269728809595108, 0.3160817325115204, -0.09083817899227142, -0.00981154479086399, -0.24294158816337585]"
emotional sorry x,"[-0.329041063785553, 0.22137132287025452, -0.23876237869262695, -0.15940482914447784, -0.38832005858421326]","[-0.329041063785553, 0.22137132287025452, -0.23876237869262695, -0.15940482914447784, -0.38832005858421326]","[-0.329041063785553, 0.22137132287025452, -0.23876237869262695, -0.15940482914447784, -0.38832005858421326]"
saving bingo card tomorrow,"[-0.028851330280303955, 0.05674215406179428, 0.19930176436901093, -0.046493127942085266, -0.028581861406564713]","[-0.028851330280303955, 0.05674215406179428, 0.19930176436901093, -0.046493127942085266, -0.028581861406564713]","[-0.028851330280303955, 0.05674215406179428, 0.19930176436901093, -0.046493127942085266, -0.028581861406564713]"
man ad everywhere,"[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]"
salute,"[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]"
first critic reaction nearly exceptionally positive many,"[-0.3403526544570923, -0.2234259843826294, 0.04248610511422157, -0.20579399168491364, -0.3590923249721527]","[-0.3403526544570923, -0.2234259843826294, 0.04248610511422157, -0.20579399168491364, -0.3590923249721527]","[-0.3403526544570923, -0.2234259843826294, 0.04248610511422157, -0.20579399168491364, -0.3590923249721527]"
ready rock,"[-0.17272770404815674, 0.15761566162109375, -0.02169359102845192, -0.029718777164816856, -0.26120874285697937]","[-0.17272770404815674, 0.15761566162109375, -0.02169359102845192, -0.029718777164816856, -0.26120874285697937]","[-0.17272770404815674, 0.15761566162109375, -0.02169359102845192, -0.029718777164816856, -0.26120874285697937]"
til end line,"[-0.4698156714439392, -0.0928693488240242, 0.10873137414455414, -0.042878612875938416, -0.05769464746117592]","[-0.4698156714439392, -0.0928693488240242, 0.10873137414455414, -0.042878612875938416, -0.05769464746117592]","[-0.4698156714439392, -0.0928693488240242, 0.10873137414455414, -0.042878612875938416, -0.05769464746117592]"
first reaction emotional epic mcu film,"[-0.4143351912498474, -0.2650420665740967, 0.13908180594444275, -0.4166381061077118, -0.28695380687713623]","[-0.4143351912498474, -0.2650420665740967, 0.13908180594444275, -0.4166381061077118, -0.28695380687713623]","[-0.4143351912498474, -0.2650420665740967, 0.13908180594444275, -0.4166381061077118, -0.28695380687713623]"
man ad everywhere,"[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]","[-0.19138948619365692, 0.41314712166786194, 0.10749199986457825, 0.15751862525939941, -0.31155213713645935]"
destiny arrived josh brolin,"[-0.22908169031143188, 0.03802630305290222, 0.0729922354221344, 0.08312949538230896, -0.16268417239189148]","[-0.22908169031143188, 0.03802630305290222, 0.0729922354221344, 0.08312949538230896, -0.16268417239189148]","[-0.22908169031143188, 0.03802630305290222, 0.0729922354221344, 0.08312949538230896, -0.16268417239189148]"
salute,"[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]"
scarlett johansson brie larson defeat thanos,"[-0.864983856678009, -0.037325385957956314, -0.1637304425239563, 0.3460499346256256, -0.5231423377990723]","[-0.864983856678009, -0.037325385957956314, -0.1637304425239563, 0.3460499346256256, -0.5231423377990723]","[-0.864983856678009, -0.037325385957956314, -0.1637304425239563, 0.3460499346256256, -0.5231423377990723]"
heyy yall please share pic make sure use tag,"[0.037746015936136246, -0.01996537111699581, -0.018402840942144394, -0.018145961686968803, -0.30576181411743164]","[0.037746015936136246, -0.01996537111699581, -0.018402840942144394, -0.018145961686968803, -0.30576181411743164]","[0.037746015936136246, -0.01996537111699581, -0.018402840942144394, -0.018145961686968803, -0.30576181411743164]"
first last public event original six together cry swear,"[-0.212328240275383, -0.4155876338481903, 0.20338739454746246, -0.18487150967121124, -0.647913932800293]","[-0.212328240275383, -0.4155876338481903, 0.20338739454746246, -0.18487150967121124, -0.647913932800293]","[-0.212328240275383, -0.4155876338481903, 0.20338739454746246, -0.18487150967121124, -0.647913932800293]"
boy two fucker beat holy shit outta feeling next helluva weekend,"[-0.2062520980834961, 0.03267444670200348, 0.1330868899822235, 0.03451928123831749, -0.5694388747215271]","[-0.2062520980834961, 0.03267444670200348, 0.1330868899822235, 0.03451928123831749, -0.5694388747215271]","[-0.2062520980834961, 0.03267444670200348, 0.1330868899822235, 0.03451928123831749, -0.5694388747215271]"
salute,"[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]","[0.00965926144272089, 0.28574222326278687, -0.03524789586663246, 0.03578159213066101, -0.15306128561496735]"
chris hemsworth wife premier,"[-0.5773951411247253, 0.251925528049469, -0.393625944852829, -0.04029369354248047, -0.1079818457365036]","[-0.5773951411247253, 0.251925528049469, -0.393625944852829, -0.04029369354248047, -0.1079818457365036]","[-0.5773951411247253, 0.251925528049469, -0.393625944852829, -0.04029369354248047, -0.1079818457365036]"
